,FIPS,State,FIPSState,County,Population.1999,Population.2000,Population.2001,Population.2002,Population.2003,Population.2004,Population.2005,Population.2006,Population.2007,Population.2008,Population.2009,Population.2010,Population.2011,Population.2012,Population.2013,Population.2014,Population.2015,Population.2016,dratelow.1999,dratelow.2000,dratelow.2001,dratelow.2002,dratelow.2003,dratelow.2004,dratelow.2005,dratelow.2006,dratelow.2007,dratelow.2008,dratelow.2009,dratelow.2010,dratelow.2011,dratelow.2012,dratelow.2013,dratelow.2014,dratelow.2015,dratelow.2016,dratehi3.1999,dratehi3.2000,dratehi3.2001,dratehi3.2002,dratehi3.2003,dratehi3.2004,dratehi3.2005,dratehi3.2006,dratehi3.2007,dratehi3.2008,dratehi3.2009,dratehi3.2010,dratehi3.2011,dratehi3.2012,dratehi3.2013,dratehi3.2014,dratehi3.2015,dratehi3.2016,StateAbbreviation,CountyName,PartDPrescribers13,PartDOpioidPrescribers13,OpioidClaims13(medicare,ExtendedReleaseOpioidClaims13,OverallClaims13,OpioidPrescribingRate13,ExtendedReleaseOpioidPrescribingRate13,PartDPrescribers14,PartDOpioidPrescribers14,OpioidClaims14,ExtendedReleaseOpioidClaims14,OverallClaims14,OpioidPrescribingRate14,ExtendedReleaseOpioidPrescribingRate14,PartDPrescribers15,PartDOpioidPrescribers15,OpioidClaims15,ExtendedReleaseOpioidClaims15,OverallClaims15,OpioidPrescribingRate15,ExtendedReleaseOpioidPrescribingRate15,Geography,pbp
1,1001,Alabama,1,"Autauga County, AL",42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54660,55253,55175,55038,55290,55347,55416,2,4,4,4,4,4,4,6,6,6,6,8,8,8,8,10,10,10,3.9,5.9,5.9,5.9,5.9,5.9,5.9,7.9,7.9,7.9,7.9,9.9,9.9,9.9,9.9,11.9,11.9,11.9,AL,Autauga,67,44,20482,979,208936,9.8,4.78,67,46,20355,1190,209310,9.72,5.85,68,43,15998,1159,198347,8.07,7.24,"Autauga County, Alabama",11.9
2,1003,Alabama,1,"Baldwin County, AL",137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183193,186659,190396,195126,199713,203709,208563,6,6,8,8,8,10,10,10,12,12,14,14,14,16,16,18,20,20,7.9,7.9,9.9,9.9,9.9,11.9,11.9,11.9,13.9,13.9,15.9,15.9,15.9,17.9,17.9,19.9,21.9,21.9,AL,Baldwin,409,268,82569,6382,903382,9.14,7.73,427,278,81889,6061,905734,9.04,7.4,440,256,82086,6380,925511,8.87,7.77,"Baldwin County, Alabama",13.2
3,1005,Alabama,1,"Barbour County, AL",28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27341,27226,27159,26973,26815,26489,25965,NA,NA,NA,NA,2,2,2,2,2,2,4,4,4,4,4,6,6,6,2,2,2,2,3.9,3.9,3.9,3.9,3.9,3.9,5.9,5.9,5.9,5.9,5.9,7.9,7.9,7.9,AL,Barbour,33,27,8935,203,142307,6.28,2.27,34,25,7710,235,134404,5.74,3.05,33,24,5818,229,129152,4.5,3.94,"Barbour County, Alabama",22.6
4,1007,Alabama,1,"Bibb County, AL",20560,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22861,22733,22642,22512,22549,22583,22643,2,2,4,4,4,4,6,6,6,8,8,10,10,12,12,14,14,16,3.9,3.9,5.9,5.9,5.9,5.9,7.9,7.9,7.9,9.9,9.9,11.9,11.9,13.9,13.9,15.9,15.9,17.9,AL,Bibb,16,9,1566,30,39332,3.98,1.92,21,11,1865,92,39451,4.73,4.93,34,13,1625,48,41253,3.94,2.95,"Bibb County, Alabama",13.8
5,1009,Alabama,1,"Blount County, AL",50237,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57373,57711,57776,57734,57658,57673,57704,4,6,6,6,6,8,8,8,10,10,10,12,12,12,14,14,16,16,5.9,7.9,7.9,7.9,7.9,9.9,9.9,9.9,11.9,11.9,11.9,13.9,13.9,13.9,15.9,15.9,17.9,17.9,AL,Blount,28,22,9778,167,159803,6.12,1.71,27,22,9769,149,158539,6.16,1.53,28,21,8783,76,147552,5.95,0.87,"Blount County, Alabama",14.6
6,1011,Alabama,1,"Bullock County, AL",11755,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10887,10629,10606,10628,10829,10696,10362,NA,NA,NA,NA,2,2,2,2,2,4,4,4,6,6,6,8,8,10,2,2,2,2,3.9,3.9,3.9,3.9,3.9,5.9,5.9,5.9,7.9,7.9,7.9,9.9,9.9,11.9,AL,Bullock,10,5,1702,19,45451,3.74,1.12,9,6,1738,41,44750,3.88,2.36,10,6,2018,38,42465,4.75,1.88,"Bullock County, Alabama",20.3
7,1013,Alabama,1,"Butler County, AL",21605,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20944,20673,20408,20261,20276,20154,19998,2,2,2,2,2,2,4,4,4,4,6,6,6,8,8,8,10,10,3.9,3.9,3.9,3.9,3.9,3.9,5.9,5.9,5.9,5.9,7.9,7.9,7.9,9.9,9.9,9.9,11.9,11.9,AL,Butler,35,27,9522,100,116291,8.19,1.05,35,26,9360,188,108580,8.62,2.01,36,23,6869,146,98387,6.98,2.13,"Butler County, Alabama",22.7
8,1015,Alabama,1,"Calhoun County, AL",114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118437,117768,117286,116575,115993,115620,114611,4,4,4,4,6,6,6,6,6,8,8,8,8,10,10,10,12,12,5.9,5.9,5.9,5.9,7.9,7.9,7.9,7.9,7.9,9.9,9.9,9.9,9.9,11.9,11.9,11.9,13.9,13.9,AL,Calhoun,276,173,54649,2999,684468,7.98,5.49,278,178,54179,2939,667723,8.11,5.42,271,158,50348,2434,650506,7.74,4.83,"Calhoun County, Alabama",18.9
9,1017,Alabama,1,"Chambers County, AL",36527,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34098,33993,34075,34153,34052,34123,33843,4,4,4,4,4,4,6,6,6,6,8,8,8,10,10,10,12,12,5.9,5.9,5.9,5.9,5.9,5.9,7.9,7.9,7.9,7.9,9.9,9.9,9.9,11.9,11.9,11.9,13.9,13.9,AL,Chambers,36,32,13724,849,172362,7.96,6.19,37,28,12542,753,159525,7.86,6,37,25,11244,658,147518,7.62,5.85,"Chambers County, Alabama",18.8
10,1019,Alabama,1,"Cherokee County, AL",23605,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25976,26080,26023,26084,25995,25859,25725,4,4,4,6,6,6,6,8,8,8,10,10,12,12,14,14,16,16,5.9,5.9,5.9,7.9,7.9,7.9,7.9,9.9,9.9,9.9,11.9,11.9,13.9,13.9,15.9,15.9,17.9,17.9,AL,Cherokee,27,23,13630,272,167003,8.16,2,26,23,13968,232,169854,8.22,1.66,29,20,13034,305,173605,7.51,2.34,"Cherokee County, Alabama",17.5
